"OBJECTID","RISK_NO","RISKCATEGORY","FEATURE","DISCIPLINE","RISK_OPPORTUNITY_EVENT","CONCERNS","PDT_DISC_CONC","PDT_DISC_LIKELI_IMPACT","PDT_DISC_RISK_MANAG_STRATEGY","ACTION_ITEMS","RISK_STRATEGY","COST_LIKELIHOOD","COST_IMPACT","CONDITIONAL_FORMATTING","CONDITIONAL_FORMATTING2","CONDITIONAL_FORMATTING3","COST_RISK","COST_IMPACT_PER_PROJECT","SCHEDULE_LIKELIHOOD","SCHEDULE_IMPACT","SCHEDULE_RISK","SCHEDULE_IMPACT_PER_PROJECT","EFFICACY_IMPACT","EFFICACY_LIKELIHOOD","EFFICACY_RISK","CORRELATION_TO_OTHER_RISKS","TECHNICAL_POC","POC_REVIEW_DATE","TIMING_OF_DELAY","LESSONS_LEARNED","START_DATE","END_DATE","ACTIVE","TREND","IMPACT","OUTCOME","OWNER","MANAGEMENT_STATUS","FK_TABLE_ID","ENG_LEVEL","LEVEL_DATE","LAST_EDITED_DATE"
651,"TR-1d","TECHNICAL RISKS","Flushing Lock","Environment","Flushing Lock Filling/Emptying System","Validation of biological parameters  - does it work when floaters are present?","We could not conduct numeric modeling of barges in the chamber to measure the effectiveness of flush. How often will we be able to flush during certain times of the year? How do we buy down risk with physical modeling?","We're not able to clear floating ANS from the chamber at the efficacy level required.","Review hydrograph and compare to invasive carp spawning to capture this risk of passage during low flow periods. Conduct validation during physical modeling to identify a level of water exchange (effectiveness) for different head differential conditions.","Finish R&D","Accept & Mitigate","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","","Amanda Patterson",01-JUL-21 12.00.00.000000000 AM,"Prior","",27-MAR-23 12.00.00.000000000 AM,27-JUN-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-1d","Level 1",19-JUL-21 01.32.26.000000000 PM,10-DEC-21 07.14.22.000000000 PM
664,"TR-7","TECHNICAL RISKS","Flushing Lock","","Flushing Lock Valves ","There are existing utilities/duct banks that run parallel to the lock walls, is there enough space to fit in culvert, avoidance strategy","New 6x6 culvert….proper space to fit within the existing lock structure?  Additional valve to force water through these valves, sequencing of valves, four valves needed to isolate the ports.","could prevent flushing from being feasible from the large upstream port which could result in less than desired efficiency.","Structures completed analysis and found there is space to construct what is needed","Complete Design Charrettes and preliminary design","Accept & Transfer","Unlikely","Negligible","Green","Green","Transparent","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","","","","Amanda Patterson",,"Both","",,,"No","","","","","Open","TR-7","Level 1",19-JUL-21 01.32.31.000000000 PM,10-DEC-21 07.14.22.000000000 PM
667,"TR-9a","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Size & Number of Speaker Array","As the number of speakers increase, so will the construction and maintenance cost. Strive for modular design; redundancy","initial indication is the number of speakers can be reduced;","Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9a","Level 1",19-JUL-21 01.32.33.000000000 PM,10-DEC-21 07.14.22.000000000 PM
668,"TR-9b","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Ambient noise","Ambient noise could interfere with surroundings","ambient noise that affects community and navigation; impacts to public use of the adjacent area","Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements; evaluate similarities between channel depths (Lock 19 & Brandon Road); evaluate affects on actual navigation vessels at Lock 19;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-24 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9b","Level 1",19-JUL-21 01.32.34.000000000 PM,10-DEC-21 07.14.22.000000000 PM
994,"TR-6h","TECHNICAL RISKS","Support Facilities","","Support Facilities","Utilities, Footprint, Operations, Location (RDB vs LDB)","Right sizing it for incremental construction; operations resources; foundation system given site may be capped if HTRW is present; future expandability for future technologies; We may not be able to get HTRW information in time to meet 2024 construction schedule; Reason for the schedule risk is due to impacts to construction methods that may be required to construct on the peninsula.","The location could jeopardize overall project costs if we use LDB for construction","ROE to NRG to explore and sample ground; dialog with utility companies;  identify the closest source of power for delivery to site; Engineering Charrette (operations); get more permanent RE for future expansion if needed; creation of utility corridors/duct banks; investigating the possibility to construct on the LDB","Complete Design Charrettes, and preliminary design, and sampling for HTRW, vet facilities against Romeoville layout","Accept & Mitigate","Likely","Significant","Red","Red","Transparent","High","$24-$56 Million","Very Likely","Significant","High","9.6-19.2 months","","","","","John Behrens",,"Both","",,,"No","","","","","Open","TR-6h","Level 1",19-JUL-21 01.32.30.000000000 PM,10-DEC-21 07.14.22.000000000 PM
996,"TR-9","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Efficacy of Acoustics","Limited systems are being tested. One system is patented so we do not have the ability to test. Do we have the right system? Are fish responsive to the systems being tested in the field? We need to maintain at appropriate levels that do not disrupt navigation and local residence. Is it sustainable?","If it's not affective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions; durability; sediment","Continued R&D; MVR support of testing at L&D 19 test site","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9","Level 1",19-JUL-21 01.32.32.000000000 PM,10-DEC-21 07.14.22.000000000 PM
997,"TR-9h","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Ambient Noise","Ambient noise of the bridge could interfere with the acoustic deterrent","Bridge sounds overlapping with acoustic deterrent;","ERDC is aware of the risk; Conduct additional sound testing at Brandon Road.","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-25 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9h","Level 1",19-JUL-21 01.32.35.000000000 PM,10-DEC-21 07.14.22.000000000 PM
998,"TR-9e","TECHNICAL RISKS","Acoustic Fish Deterrent","Environment","Acoustic Barrier R&D","Interaction with electrical barrier","We don't know what the effects the electric barrier or stray current will have on the speakers and their operation","May need a different speaker manufacturer, different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers;","Test spare speakers in existing barrier to see impacts; collect field data on acoustics when they close the electric current; continued R&D;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Unlikely","Moderate","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-23 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-9e","Level 1",19-JUL-21 01.32.38.000000000 PM,10-DEC-21 07.14.22.000000000 PM
1001,"TR-18","TECHNICAL RISKS","Electric Dispersal Barrier","","Electric Barrier Deterrent","Stray currents impacts on existing infrastructure, design of concepts, channel depths, etc.… Coast Guard provides final operating parameters after implementation, need stray current modeling as soon as possible, continue to be a risk because we can't catch up to other features dependent on this research, EC design to control stray currents, ensure public safety, ERDC research for levels of electrical current may not be concluded in time for design","Information from LRC available, but still a lot of unknown regarding conductivity and resistivity to limit stray current, proximity to existing infrastructure, safety considerations, on off uses, amount of time off vs on related to # of lockage's, power availability, anode corrosion, O&M costs, reliability data LRC is working on to develop efficacy levels, level of performance, system level of performance, proprietorship of technology,  potential use of vertical design in lieu of bottom up methodology, We need to make sure the research into what levels of electrical current are needed to deter fish of all sizes are taken into consideration. Existing design does not allow for fast and recurring on and off procedures.","Coast Guard regulations and safety protocol may be more than Romeoville. The Coast Guard has indicated that they are open to considering a different protocol at this location. Likelihood of schedule impact to the schedule due to the delay of R&D availability. O&M contributes to the overall costs.","Conducting stray current electrical modeling with CRREL.. Others to determine the potential range of stray currents, continued R&D, explore opportunities for solutions. Design is intended to have flexibility for voltage per inch. Design will have to have specific start up and shut down procdures to allow for rapid on and off operation.","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Likely","Marginal","Orange","Green","Transparent","Moderate","$4-$24 Million","Unlikely","Marginal","Low","4.8-9.6 months","","","","","Kirk Sunderman",,"Both","",,,"No","","","","","Open","TR-18","Level 1",19-JUL-21 01.32.43.000000000 PM,10-DEC-21 07.14.22.000000000 PM
1002,"TR-19","TECHNICAL RISKS","All","Engineering - General ","Sequence of Navigation Operations","What are we designing towards?  Operations of barriers, time of flushing, etc.…  Need to establish a baseline to measure against 15 min delay time was a study assumption. The time may not be accurate and the barriers may not be as effective as in the feasbility report.","15 min flushing time was a study assumption, is that a correct assumption, use Johnna's slides of lockage sequencing, how much buy back can we realize in times savings, total transit time, need the baseline to measure, what does this mean for the next boat up if stacked up at Lockport or downstream, how does it relate to the LPMS data over a period of time, negligible, slight, large impact?  do queuing for barges to mitigate time, are we designing to time deck hand has to walk to front of boat?  What are specific design parameters we are looking to address?","Need baseline information to establish what impacts or differences the project will have","Collect AISP or time stamped interval tracking of vessels to establish a baseline so that we can then determine our impacts.","Finish AIS","Accept & Transfer","Likely","Negligible","Green","Green","Green","Low","$0-$4 Million","Likely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Flushing lock","John Behrens",01-JUL-21 12.00.00.000000000 AM,"Neither","",01-JAN-23 12.00.00.000000000 AM,01-JUL-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-19","Level 1",19-JUL-21 01.32.46.000000000 PM,10-DEC-21 07.14.22.000000000 PM
1003,"TR-20","TECHNICAL RISKS","Entrainment Deterrent","Environment","Entrainment Deterrent","Concern that bubbles could effect maneuverability of barges and it doesn't remove the fish, have not determined best layout pattern which would effect future work,  don't have design parameters, taking concept to implementation, never been done before, how does this interact with other technologies","research scheduled for FY22, provide best design we can now but may need to modify, What kind of flexibility can be designed in the feature to allow for adaptive management? Define design parimeters.","will impact schedule of design, air bubble curtain is in Risk Increment I","Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing.","Finish R&D, Design Charrettes, and preliminary design","Accept & Transfer","Very Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","","Mark Cornish",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-20","Level 1",19-JUL-21 01.32.47.000000000 PM,10-DEC-21 07.14.22.000000000 PM
1005,"TR-13","OPPORTUNITIES","Engineering Channel","","Downstream Approach Conditions below Engineered Channel","Entrance and approach conditions to asses potential improvements and efficiencies to asses the impacts of changes.  Impact of generation cooling water intake; Impact of main channel flows coming down from the dam","{{Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back);}}  7/12/2021 ERDC has initiated building models","Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide…., should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now","Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths);","7/15 modeling is underway; continue weekly meetings with ERDC; follow up with AIS data areas","","Unlikely","Negligible","Green","Transparent","Transparent","Low","$0-$4 Million","","","","","","","","","",,"","",,,"No","","","","","Open","TR-13","Level 1",19-JUL-21 09.52.55.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1611,"TR-6e","TECHNICAL RISKS","Engineering Channel","Project Management","Engineered Channel","Navigation delays during operations","","","","Finish R&D, Design Charrettes, and preliminary design","Transfer","Unlikely","Significant","Orange","Green","Green","Moderate","$24-$56 Million","Unlikely","Marginal","Low","4.8-9.6 months","Negligible","Very Unlikely","Low","","Fred Joers",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",28-JAN-22 12.00.00.000000000 AM,30-SEP-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-6e","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1612,"TR-6g","TECHNICAL RISKS","Engineering Channel","Engineering - General ","Engineered Channel","Navigation delays during construction","","","","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Likely","Marginal","Orange","Red","Green","Moderate","$4-$24 Million","Likely","Significant","High","9.6-19.2 months","Negligible","Very Unlikely","Low","TR-6e","John Behrens",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JAN-23 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-6g","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1613,"TR-6f","TECHNICAL RISKS","Engineering Channel","Engineering - H&H ","Engineered Channel","Floodway Impact","","","","Complete HEC RAS model","Accept & Transfer","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JUN-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","","","","","Open","TR-6f","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1614,"TR-8","TECHNICAL RISKS","All","Environment","Technology Effectiveness","There may be problems with achieving the desired effectiveness of the entire ANS control system.","","","","Finish R&D, Design Charrettes, and preliminary design, manage during adaptive management phase","Accept & Mitigate","Likely","Marginal","Orange","Green","Red","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Very Likely","High","","Mark Cornish",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-AUG-21 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-8","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1615,"TR-10","TECHNICAL RISKS","All","Engineering - General ","Control Systems","Software engineering may be required to operate all systems under the same controls at the lock house.","","","","Complete Design Charette","Accept & Mitigate","Likely","Marginal","Orange","Green","Red","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","TR-6H","Kent Rockow",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JAN-22 12.00.00.000000000 AM,01-JUN-24 12.00.00.000000000 AM,"Yes","","","","","Open","TR-10","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1616,"REGEN-2","REGULATORY AND ENVIRONMENTAL RISKS","Acoustic Fish Deterrent","Environment","Noise Permitting","The acoustic barrier may make noise that can be heard outside of the water.","","","","Continue R&D","Accept & Mitigate","Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Unlikely","Moderate","","Christa Woodley",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-OCT-21 12.00.00.000000000 AM,01-JUN-22 12.00.00.000000000 AM,"Yes","","","","","Open","","",,10-DEC-21 07.14.22.000000000 PM
1617,"REGEN-1","REGULATORY AND ENVIRONMENTAL RISKS","Engineering Channel","Policy","Flood Way Permit","Non-navigational wall is not an appropriate floodway use and there is not enough room on the peninsula to add the fill material without impacting the floodway","","","","continue H&H","Accept & Mitigate","Likely","Marginal","Orange","Orange","Green","Moderate","$4-$24 Million","Likely","Marginal","Moderate","4.8-9.6 months","Marginal","Unlikely","Low","","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JUN-21 12.00.00.000000000 AM,01-JUN-22 12.00.00.000000000 AM,"Yes","","","","","Open","REGEN-1","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1618,"EN-1","ENVIRONMENT","Administrative","Environment","Phase II Environmental Site Investigation","The assumption made during the feasibility study was the site could be used for construction with some remediation. Environmental site investigation may result in unusable site or high cost.","","","","","Accept & Mitigate","Unlikely","Critical","Orange","Orange","Green","Moderate","$56-$120 Million","Unlikely","Critical","Moderate","19.2-38.4 months","Negligible","Unlikely","Low","TR-6H:TR-11","Steve Gustafson",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-AUG-21 12.00.00.000000000 AM,01-JUL-23 12.00.00.000000000 AM,"Yes","","","","","Open","EN-1","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
1619,"RE-1","REAL ESTATE","Administrative","Real Estate","Land Acquisition","Right descending bank may not be available for use","","","","Start pre-engineering for the LDB and RDB; Continue communication with Illinois.","Accept & Mitigate","Likely","Critical","Red","Orange","Red","High","$56-$120 Million","Unlikely","Critical","Moderate","19.2-38.4 months","Significant","Likely","High","TR-6F:TR-6H:TR-11:EN-1","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-MAY-21 12.00.00.000000000 AM,01-JUN-22 12.00.00.000000000 AM,"Yes","","","","","Open","RE-1","Level 1",22-JUL-21 12.00.00.000000000 AM,10-DEC-21 07.14.22.000000000 PM
