"Risk Category","Risk Number","Component","Risk Opportunity Event","Concerns","Action Items","Risk Strategy","Cost Impact Likelihood","Cost Impact Severity","Cost Impact Per Project","Cost Risk Level","Schedule Impact Likelihood","Schedule Impact Severity","Schedule Impact Per Project","Schedule Risk Level","Correlation to Other Risks","Responsible POC","Timing of Delay","Engagement Level","Level Start Date"
"TECHNICAL RISKS","TR-9e","Acoustic Fish Deterrent","Acoustic Barrier R&D","Interaction with electrical barrier","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","$0-$2.5 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Both","Level 1 - PDT","19-JUL-2021 13:32"
"PROJECT & PROGRAM MGMT","PPM-2","Administrative","Funding Availability","Lack of efficient funding in PED could delay design","-","Accept & Transfer","Likely","Marginal","$4-$24 Million","Moderate","Unlikely","Negligible","0-4.8 months","Low","CA-1","Andy Leichty","Prior to Construction","Level 1 - PDT","02-SEP-2021 00:00"
"TECHNICAL RISKS","TR-6e","Engineering Channel","Engineered Channel","Navigation delays during operations","Finish R&D, Design Charrettes, and preliminary design","Transfer","Unlikely","Significant","$24-$56 Million","Moderate","Unlikely","Marginal","4.8-9.6 months","Low","-","Fred Joers","Prior/During Construction","Level 1 - PDT","22-JUL-2021 00:00"
"TECHNICAL RISKS","TR-6g","Engineering Channel","Engineered Channel","Navigation delays during construction","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Likely","Marginal","$4-$24 Million","Moderate","Likely","Significant","9.6-19.2 months","High","TR-6e","John Behrens","Prior to Construction","Level 1 - PDT","22-JUL-2021 00:00"
"TECHNICAL RISKS","TR-8","All","Technology Effectiveness","There may be problems with achieving the desired effectiveness of the entire ANS control system.","Finish R&D, Design Charrettes, and preliminary design, manage during adaptive management phase","Accept & Mitigate","Likely","Marginal","$4-$24 Million","Moderate","Unlikely","Negligible","0-4.8 months","Low","-","Mark Cornish","Prior/During Construction","Level 1 - PDT","22-JUL-2021 00:00"
"REAL ESTATE","RE-2","Administrative","Land Acquisition","If required land rights are not provided by a willing seller, condemnation and/or quit take authority could take longer to accomplish than the scope and schedule of this project may allow.","Sponsor continues negotiations","Accept & Mitigate","Unlikely","Negligible","$0-$4 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Andrew Shelton/Bob Spencer","Prior to Construction","Level 1 - PDT","29-JUL-2021 00:00"
"ENVIRONMENT","EN-1","Administrative","A Phase II Environmental Site Investigation of the site is required and could not be obtained during the feasibility study.","The assumption made during the feasibility study was the site could be used for construction with some remediation. Environmental site investigation may result in unusable site or high cost.","-","Accept & Mitigate","Unlikely","Critical","$56-$120 Million","Moderate","Unlikely","Critical","19.2-38.4 months","Moderate","TR-6H:TR-11","Steve Gustafson","Prior/During Construction","Level 1 - PDT","22-JUL-2021 00:00"
"CONTRACT ACQUISITION RISKS","CA-5","Administrative","AE Design Contract","AE would not have capacity or execute in time","-","Accept & Mitigate","Unlikely","Negligible","$0-$4 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Kirk Sunderman","Prior to Construction","Level 1 - PDT","22-JUL-2021 00:00"
"CONTRACT ACQUISITION RISKS","CA-4","Administrative","Contract Type","The type of contract, Design/Build or Design/Bid/Build, can affect timeline and cost.","-","Accept","Unlikely","Significant","$24-$56 Million","Moderate","Unlikely","Negligible","0-4.8 months","Low","-","Andy Leichty","Prior to Construction","Level 1 - PDT","22-JUL-2021 00:00"
"CONTRACT ACQUISITION RISKS","CA-3","Administrative","Multiple Contracts","Larger contracts may be broken into multiple contracts.","-","Accept","Likely","Crisis","$120 Million +","High","Very Likely","Critical","19.2-38.4 months","High","-","Andy Leichty","Prior/During Construction","Level 5 - HQUSACE","22-JUL-2021 00:00"
"CONTRACT ACQUISITION RISKS","CA-2","Administrative","Deliverability","Systems need to be packaged to meet their intended functions and warranties can be enforced.","-","Accept & Mitigate","Likely","Marginal","$4-$24 Million","Moderate","Very Unlikely","Negligible","0-4.8 months","Low","-","Kirk Sunderman","Prior to Construction","Level 1 - PDT","03-SEP-2021 00:00"
"CONTRACT ACQUISITION RISKS","CA-1","Administrative","Acquisition Strategy","All contracts are assumed to be unrestricted (full and open). If this assumption is incorrect, costs will be higher.","-","Accept & Mitigate","Unlikely","Significant","$24-$56 Million","Moderate","Very Unlikely","Marginal","4.8-9.6 months","Low","-","Andy Leichty","Prior to Construction","Level 1 - PDT","02-SEP-2021 15:05"
"PROJECT & PROGRAM MGMT","PPM-1","Administrative","Signing of a PPA","Illinois has concerns with the current PPA template. Concerns that the PPA can't be negotiated and can't be negotiated on time.","7/30 Elevating the issue to HQ","Accept","Likely","Marginal","$4-$24 Million","Moderate","Very Likely","Critical","19.2-38.4 months","High","-","Andy Leichty","Prior to Construction","Level 5 - HQUSACE","02-SEP-2021 15:02"
"REGULATORY AND ENVIRONMENTAL RISKS","REGEN-2","Acoustic Fish Deterrent","Noise Permitting","The acoustic barrier may make noise that can be heard outside of the water.","Continue R&D","Accept & Mitigate","Unlikely","Negligible","$0-$4 Million","Low","Unlikely","Negligible","0-4.8 months","Low","-","Christa Woodley","Prior/During Construction","Level 1 - PDT","22-JUL-2021 00:00"
"TECHNICAL RISKS","TR-10","All","Control Systems","Software engineering may be required to operate all systems under the same controls at the lock house.","Complete Design Charette","Accept & Mitigate","Likely","Marginal","$4-$24 Million","Moderate","Unlikely","Negligible","0-4.8 months","Low","TR-6H","Kent Rockow","Prior to Construction","Level 1 - PDT","22-JUL-2021 00:00"
"TECHNICAL RISKS","TR-17","Flushing Lock","Operation of Flushing Lock in Combination with Hydro Power Study","Balance of water between hydro power and flushing lock may be difficult.","-","Accept","Very Unlikely","Negligible","$0-$4 Million","Low","Very Unlikely","Negligible","0-4.8 months","Low","-","Jim Bartek","Both","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-19","All","Sequence of Navigation Operations","What are we designing towards?  Operations of barriers, time of flushing, etc.…  Need to establish a baseline to measure against 15 min delay time was a study assumption. The time may not be accurate and the barriers may not be as effective as in the feasbility report.","Finish AIS","Accept & Transfer","Likely","Negligible","$0-$4 Million","Low","Likely","Negligible","0-4.8 months","Low","Flushing lock","John Behrens","Neither","Level 1 - PDT","19-JUL-2021 13:32"
"TECHNICAL RISKS","TR-20","Entrainment Deterrent","Entrainment Deterrent","Concern that bubbles could effect maneuverability of barges and it doesn't remove the fish, have not determined best layout pattern which would effect future work,  don't have design parameters, taking concept to implementation, never been done before, how does this interact with other technologies","Finish R&D, Design Charrettes, and preliminary design","Accept & Transfer","Very Unlikely","Negligible","$0-$4 Million","Low","Very Unlikely","Negligible","0-4.8 months","Low","-","Mark Cornish","Both","Level 1 - PDT","19-JUL-2021 13:32"
