"OBJECTID","TABLE_NAME","FK_TABLE_ID","DISCUSSION","LOGGED_BY","LOG_DATE","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","ACTIVE","RESPONSIBLE_POC","POC_REVIEW_DATE"
53,"RISK_REGISTER","TR-9e","Upload from spreadsheet:  PDT Discussions and Conclusions: We don't know what the effects the electric barrier or stray current will have on the speakers and their operation; PDT Discussion on Likelihood and Impact: May need a different speaker manufacturer, different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers;; Risk Managment Discussion: Test spare speakers in existing barrier to see impacts; collect field data on acoustics when they close the electric current; continued R&D;","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
54,"RISK_REGISTER","TR-18","Upload from spreadsheet:  PDT Discussions and Conclusions: Information from LRC available, but still a lot of unknown regarding conductivity and resistivity to limit stray current, proximity to existing infrastructure, safety considerations, on off uses, amount of time off vs on related to # of lockage's, power availability, anode corrosion, O&M costs, reliability data LRC is working on to develop efficacy levels, level of performance, system level of performance, proprietorship of technology,  potential use of vertical design in lieu of bottom up methodology, We need to make sure the research into what levels of electrical current are needed to deter fish of all sizes are taken into consideration. Existing design does not allow for fast and recurring on and off procedures.; PDT Discussion on Likelihood and Impact: Coast Guard regulations and safety protocol may be more than Romeoville. The Coast Guard has indicated that they are open to considering a different protocol at this location. Likelihood of schedule impact to the schedule due to the delay of R&D availability. O&M contributes to the overall costs.; Risk Managment Discussion: Conducting stray current electrical modeling with CRREL.. Others to determine the potential range of stray currents, continued R&D, explore opportunities for solutions. Design is intended to have flexibility for voltage per inch. Design will have to have specific start up and shut down procdures to allow for rapid on and off operation.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
56,"RISK_REGISTER","TR-20","Upload from spreadsheet:  PDT Discussions and Conclusions: research scheduled for FY22, provide best design we can now but may need to modify, What kind of flexibility can be designed in the feature to allow for adaptive management? Define design parimeters.; PDT Discussion on Likelihood and Impact: will impact schedule of design, air bubble curtain is in Risk Increment I; Risk Managment Discussion: Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
57,"RISK_REGISTER","TR-13","Upload from spreadsheet:  PDT Discussions and Conclusions: {{Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide?., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back);}}  7/12/2021 ERDC has initiated building models; PDT Discussion on Likelihood and Impact: Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide?., should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now; Risk Managment Discussion: Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths);","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
58,"RISK_REGISTER","TR-9b","Upload from spreadsheet:  PDT Discussions and Conclusions: Ambient noise could interfere with surroundings; PDT Discussion on Likelihood and Impact: ambient noise that affects community and navigation; impacts to public use of the adjacent area; Risk Managment Discussion: Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements; evaluate similarities between channel depths (Lock 19 & Brandon Road); evaluate affects on actual navigation vessels at Lock 19;","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
59,"RISK_REGISTER","TR-1A","Upload from spreadsheet:  PDT Discussions and Conclusions: Decisions made to narrow the channel will magnify this concern; it also affects the prelockage/mooring; The lock operational procedures may need to be modified to maximize water exchange.; PDT Discussion on Likelihood and Impact: This would cause navigation delays if tows have to tie off further downstream. Impacts would be realized during operation, would not impact cost or schedule.; Risk Managment Discussion: We're conducting physical model at ERDC to investigate forces. May need to conduct field testing after installation.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.58.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.04.000000000 PM,"","",
652,"RISK_REGISTER","CA-1","PDT Discussions and conclusions-7/22/21 Will be addressed when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
653,"RISK_REGISTER","CA-2","PDT Discussions and Conclusions-7/22/21 Will be addressed when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
654,"RISK_REGISTER","PPM-1","PDT Discussions and Conclusions-Illinois has indicated in the past five years that they are unable to sign a Project Partnership Agreement, have issue with ""hold harmless"" and maintain in perpetuity. State also seeking financial support from the Great Lakes States and 95% design completion prior to signing PPA.","Marisa Lack","02-Sep-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
655,"RISK_REGISTER","PPM-2","PDT Discussions and conclusions-There is strong support for the project and the project is fully funded through the second year of a projected 3 year phase
PDT Discussions on likelihood and impact-Expect to receive necessary funds for year 3 to complete design.  If not schedule would slip and a construction contract may not be awarded in the targeted FY of 2024
Risk management strategy actions to be taken-Continue request funding needs and communicate importance of the project and execute the funds we have
","Marisa Lack","02-Sep-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
656,"RISK_REGISTER","CA-3","PDT Discussions and Conclusions-7/22/21 Will be addressed when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
657,"RISK_REGISTER","CA-4","PDT Discussions and conclusions-7/22/21 Will be addressed when we get closer to construction.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
658,"RISK_REGISTER","CA-5","PDT discussions and conclusions-7/22/21 Currently working on IDIQ capabilities.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
659,"RISK_REGISTER","TR-6e","PDT Discussions and conclusions-Are there impacts to navigation maneuverability & operations resulting from the shape, width, length, depth and alignment of the engineered channel?  If delays are incurred during lock through of the engineered channel this will impact the amount of flushing time that can be allowed for floaters.
PDT Discussions on likelihood and impact-Draft of barges, piston effect, vulnerability to elisions, operation concerns with electrical barrier, maneuverability in bubble curtain and approach channel, approach velocities related to power water intake, Hawser forces, any channel wall gaps
Risk Management strategy actions to be taken-Gather input from navigation, USCG, Operations, IL DOT; conduct physical modeling; gather AISAP data to analyze transit times; research ship simulator; VR technologies for communications; R&D on vessel maneuverability when in bubble curtain column (utilization of OD barges/tows);
","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
660,"RISK_REGISTER","TR-6g","PDT discussions and conclusions-Are there impacts to navigation maneuverability & operations resulting from the shape, width, length, depth and alignment of the engineered channel and the construction method required to implement?
PDT Discussions on likelihood and impact- Delays during construction, access for passage of vessels in the DS approach channel
Risk management strategy actions to be taken-Conduct workshops to coordinate and gather input from navigation, USCG, Operations, IL DOT as opportunity to identify the most efficient size, layout, construction method and construction sequencing to implement the project and minimize impact to navigation; conduct physical modeling; gather AISAP data to analyze transit times.  Identification of construction sequencing is a Key Decision Point.
","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
661,"RISK_REGISTER","TR-6F","PDT Discussions and conclusions-Consideration of any construction or permanent features that could impact the existing floodway. Consideration to offset floodway impacts.  Also Part 3708 floodway appropriate use must be considered.
PDT Discussions on likelihood and impact-Will impact the design of Engineered Channel (length, height).   Note the risk of floodway impact could increase if the RDB is not available for construction of project components and facilities.  Note that risk is captured as part of risk item RE-1 acquisition of real estate
risk management strategy actions to be taken-Conduct H&H HEC-RAS modeling, regulatory & RE coordination with State of Illinois
","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
662,"RISK_REGISTER","TR-8","PDT Discussions and conclusions-Exploring new technologies and existing technologies in different environments. Balance between efficacy and navigation impacts. USCG to determine operating procedures after construction.
PDT Discussions on likelihood and impact-Likely and could mean reduced effectiveness. Impacts would be realized during operation, would not impact construction cost or schedule.
Risk management strategy actions to be taken-Continue R&D and to work on increasing the effectiveness in the adaptive management phase.
","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
663,"RISK_REGISTER","TR-10","PDT Discussions and conclusions-If controls are required to be in the same facility then this concern comes into play. The existing control house is on the Historic National Register.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
664,"RISK_REGISTER","REGEN-2","PDT Discussions and conclusions-lock 19 shows there is sound outside of the water. The sound levels are within acceptable decibel levels.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
665,"RISK_REGISTER","REGEN-1","PDT Discussions and conclusions-Compensatory storage will be is required for the fill on the left descending bank (rubble mound) in the floodway of the Des Plaines River.  Local NFIP ordinances dictate what comp storage may be required in the floodplain fringe.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
666,"RISK_REGISTER","EN-1","PDT Discussions and conclusions- The NRG site had a Phase I Environmental assessment completed, and the recommendation of the Phase I was a Phase II Environmental Site Investigation. Site history includes documented USACE use for dredged material disposal, and possible fly ash disposal. Illinois Environmental Protection Agency personnel noted evidence of fly ash disposal and other materials.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
667,"RISK_REGISTER","RE-1","PDT Discussions and conclusions-Midwest Gen Property may not be acquired either because remediation requirements are to costly or time consuming or the sponsor is unable to negotiate access to the site to determine site conditions.  Additional engineering/design time would be required to develop plan for the left descending bank.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
668,"RISK_REGISTER","RE-2","PDT Discussions on likelihood and impact-7/29 Currently the state's negotiations with the land owner are proceeding in a positive fashion. It appears the land owner is a willing seller.","Marisa Lack","29-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
669,"RISK_REGISTER","OPP-1","PDT Discussions and conclusions-{{Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide?., should include consideration of channel depth for vessel departure.; do not want to create a habitat for fish at approach channel ahead of barriers;  angled barrier(s) at the entrance (peninsula pulled back);}}  7/12/2021 ERDC has initiated building models
PDT Discussions on likelihood and impact-Scopes of work being finalized for physical model, anticipate model completion within 18 months?  Modeling data will provide?., should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now
Risk Management strategy actions to be taken-Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths);
","Marisa Lack","29-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
670,"RISK_REGISTER","EN-1","PDT Discussions on likelihood and impact-The state is actively working to complete Phase II analyisis which includes sampling. It's a formal industrial site and dredge placement site with unknown disposal with potential to high impacts to cost and schedule. There was a lawsuit regarding potential ground water contamination at various NRG sites. Note this risk is related to risk RE-1 Land Acquisition in two ways. First we are dependent on land access (Rights of Entry for Exploration) being acquired to conduct the investigation. If we do not get access then the Phase II analysis cannot be completed and the land acquisition for construction cannot be completed. Second the results of a Phase II investigation could dictate that it is not feasible to acquire the site which is essentially the risk concern of RE-1 Land Acquisition of the preferred site cannot be acquired.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
671,"RISK_REGISTER","RE-1","PDT Discussions on likelihood and impact-Impacts are high to the design schedule and the construction schedule and would incur large cost increase to move to the LDB. Multiple secondary impacts are identified in risks TR-6F, TR-6H, TR-11, EN-1 ","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
672,"RISK_REGISTER","RE-1","Risk Management Strategy actions to be taken-Trigger point for the LDB, have ILDNR continue to pursue ROE for exploration of the RDB property, conduct numeric modeling of the floodway with LDB scenarios for construction, if we lower wall to 514 is that a different impact than staying at 517 , can we add fill to the LDB wall? Collect survey data of LDB to conduct floodway modeling, increase channel conveyance vs flood plain mitigation. 7/28/21 Develop cost estimate and layout on the LDB. Look at alternate design methods.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
961,"RISK_REGISTER","REGEN-1","PDT Discussions on likelihood and impact-needs to be investigated Risk Management strategy actions to be taken-needs to be investigated. The volume of material and footprint must be defined.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
962,"RISK_REGISTER","RE-2","Risk management strategy actions to be taken-Continue to work with IL on land acquisitions.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
963,"RISK_REGISTER","EN-1","Risk Management strategy actions to be taken-Continue to have IL coordinate Rights of Entry with sponsor as the DNR may have additional leverage to negotiate and conduct Phase II investigation. Review status of court case documents.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
964,"RISK_REGISTER","CA-5","PDT Discussions on likelihood and impact-7/22 There's national capacity but could negatively be affected by a stimulus package.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
965,"RISK_REGISTER","CA-5","Risk management strategy actions to be taken-Continue to monitor capacities. Upper 3 districts continue to get new IDIQ contract capacity in place geared towards major navigation design capabilities. Develop workload to workforce capacities.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
966,"RISK_REGISTER","CA-4","PDT Discussions on likelihood and impact-direction from higher authority to execute funds sooner or reduce risk. Impact = design/build could be faster but at a risk to not achieve goals. ","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
967,"RISK_REGISTER","CA-4","Risk management strategy actions to be taken-Keep HQ informed on the needs of the project for efficient execution.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
968,"RISK_REGISTER","CA-3","PDT Discussions on likelihood and impact-Funding, RE, permits, nav impacts, all could result in needing to downsize larger contracts. ","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
969,"RISK_REGISTER","CA-3","Risk management strategy actions to be taken-Keep HQ informed on the needs of the project for efficient execution.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
970,"RISK_REGISTER","CA-1","PDT Discussion on likelihood and impact-potentially less bidders or we'd have a higher price (8A). ","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
31,"RISK_REGISTER","TR-17","PDT Discussions and Conclusions: USACE controls the water supply and would govern availability to any developed hydropower ventures.","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","",
979,"RISK_REGISTER","TR-17","Risk Management Discussion: Establish water usage agreements.","Kayleigh Thomas","20-Aug-2021","",,"",,"","",
980,"RISK_REGISTER","TR-19","PDT Discussion on Likelihood and Impact: Need baseline information to establish what impacts or differences the project will have.","Kayleigh Thomas","20-Aug-2021","",,"",,"","",
981,"RISK_REGISTER","TR-19","Risk Management Discussion: Collect AISP or time stamped interval tracking of vessels to establish a baseline so that we can then determine our impacts.","Kayleigh Thomas","20-Aug-2021","",,"",,"","",
55,"RISK_REGISTER","TR-19","PDT Discussions and Conclusions: 15 min flushing time was a study assumption, is that a correct assumption? Use Johnna's slides of lockage sequencing. How much buy back can we realize in times savings, total transit time, need the baseline to measure, what does this mean for the next boat up if stacked up at Lockport or downstream, how does it relate to the LPMS data over a period of time, negligible, slight, large impact?  Do queuing for barges to mitigate time? Are we designing to time deck hand has to walk to front of boat?  What are specific design parameters we are looking to address?","Kayleigh Thomas","8/20/2021 10:17:35 AM","BRANDONROAD",20-AUG-21 03.14.00.000000000 PM,"BRANDONROAD",20-AUG-21 03.29.00.000000000 PM,"","",
982,"RISK_REGISTER","TR-20","PDT Discussion on Likelihood and Impact: will impact schedule of design, air bubble curtain is in Risk Increment I.","Kayleigh Thomas","20-Aug-2021","",,"",,"","",
983,"RISK_REGISTER","TR-20","Risk Managment Discussion: Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing.","Kayleigh Thomas","20-Aug-2021","",,"",,"","",
971,"RISK_REGISTER","CA-2","PDT Discussions on likelihood and impact-actions we're taking include experimental technologies. It may void normal warranties. Ground current and speakers have a higher risk to void warranties. ","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
972,"RISK_REGISTER","CA-2","Risk Management strategy actions to be taken-the team needs to stay current on technologies and attention to details on material, non-standard specifications, sole source specifications.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
973,"RISK_REGISTER","CA-1","Risk management strategy actions to be taken-Strategy = have good information for the board. Acquisition strategy meeting to take place between 35% and 65% design.","Marisa Lack","22-Jul-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
974,"RISK_REGISTER","PPM-1","PDT Discussions on likelihood and impact-PPA needs to be signed by Dec 2022 to maintain schedule. 95% design is scheduled for completion in April 2024. ","Marisa Lack","02-Sep-2021","",,"BRANDONROAD",21-SEP-21 04.14.41.000000000 PM,"","Marisa Lack",
